time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/loss,train/explained_variance,train/value_loss,train/n_updates,train/entropy_loss,train/clip_fraction,train/approx_kl
354,37,213,75776,-0.0022908006358193234,0.00025,0.2,0.3443017303943634,0.9957098960876465,0.49794714879244567,360,-0.3454952503554523,0.05537109375,0.0032277382
354,38,219,77824,0.00018870136264013127,0.00025,0.2,0.37500888109207153,0.9919050335884094,0.9722789985127747,370,-0.3379281282424927,0.039697265625,0.002288743
356,39,223,79872,0.00014587988989660515,0.00025,0.2,0.2903936207294464,0.9932434558868408,0.8169606267474592,380,-0.32001242828555404,0.03310546875,0.0031763725
358,40,228,81920,-0.0011487382267659995,0.00025,0.2,0.2557300627231598,0.9942013025283813,0.710398709308356,390,-0.3147948385681957,0.040234375,0.0022167026
356,41,235,83968,0.0003686353062221315,0.00025,0.2,0.35365530848503113,0.9946230053901672,0.6392913388088346,400,-0.30604458157904446,0.049658203125,0.007277772
356,42,241,86016,-0.0008532848602044396,0.00025,0.2,0.33850768208503723,0.9943080544471741,0.683726633246988,410,-0.2988299926742911,0.0478515625,0.0029152408
355,43,247,88064,-0.0007541684564785101,0.00025,0.2,0.7667033672332764,0.9934093952178955,0.806147803273052,420,-0.29419206161983313,0.032666015625,0.003966186
353,44,254,90112,-0.0017872596181405243,0.00025,0.2,0.5393819808959961,0.9927858114242554,0.8667405881918967,430,-0.30026866318657996,0.0466796875,0.0062269857
352,45,261,92160,0.001643612758925883,0.00025,0.2,0.5791077613830566,0.9918419122695923,1.0002587152644993,440,-0.29595644515939057,0.060595703125,0.0071847355
351,46,267,94208,-0.0011079297393735033,0.00025,0.2,0.3706824481487274,0.9943058490753174,0.6954897955060005,450,-0.2796283568255603,0.052099609375,0.0023674872
350,47,274,96256,-0.003583728341618553,0.00025,0.2,0.12377306818962097,0.9964497089385986,0.44176669330336155,460,-0.28442027503624556,0.05849609375,0.0037927406
350,48,280,98304,-0.0004963393133948557,0.00025,0.2,0.1946776956319809,0.9936884045600891,0.7806830880232155,470,-0.27950958991423247,0.040966796875,0.002831666
351,49,285,100352,0.0012472463276935741,0.00025,0.2,0.36832836270332336,0.9943404197692871,0.6679681288078427,480,-0.2780235363636166,0.050927734375,0.007865826
